"model_name","seed","training_status","training_dataset","num_training_samples","generation_strategy","prompt_type","explanation_type","response_type","response_format","evaluation_dataset","label_accuracy","misclassification_rate","combined_accuracy","malformed_label","malformed_domain","total_predictions","correct_predictions","conditional_accuracy","wrong_predictions","correct_label_and_domain","Constitutional_Law_accuracy","Contracts_accuracy","Criminal_Law_accuracy","Evidence_accuracy","Real_Property_accuracy","Torts_accuracy","Civil_Procedure_accuracy","correct_domain_wrong_label","correct_label_wrong_domain","both_wrong"
"llama3","seed_989","untrained","all_domains_0_samples",0,"temp_06","few_shot","structured","fact_first","json","test_set_2",0.58,0.42,0.27,7,53,100,58,0.62,35,27,0.5,0.13,0.07,0.4,0.2,0.43,0.15,20,31,22
"llama2","seed_206","trained","all_domains_10_samples",10,"greedy","zero_shot","structured","answer_first","json","test_set_1",0.31,0.69,0.27,0,12,99,31,0.31,69,27,0.21,0.43,0.31,0.07,0.21,0.46,0.25,60,4,8
"llama2","seed_989","untrained","all_domains_0_samples",0,"temp_06","few_shot","unstructured","fact_first","json","test_set_1",0.24,0.76,0.14,32,39,99,24,0.35,44,14,0.21,0.36,0.08,0,0,0.31,0.06,46,10,29
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_06","zero_shot","unstructured","fact_first","json","test_set_2",0.17,0.83,0.06,43,72,100,17,0.3,40,6,0.14,0.13,0,0.07,0,0.07,0,22,11,61
"llama3","seed_206","trained","all_domains_10_samples",10,"greedy","few_shot","unstructured","answer_first","json","test_set_1",0.47,0.53,0.41,0,12,99,47,0.47,53,41,0.5,0.21,0.54,0.47,0.36,0.46,0.38,46,6,6
"llama3","seed_206","trained","all_domains_10_samples",10,"temp_025","zero_shot","unstructured","answer_first","json","test_set_1",0.44,0.56,0.42,0,9,99,44,0.44,56,42,0.5,0.29,0.54,0.47,0.43,0.62,0.19,48,2,7
"llama2","seed_206","trained","all_domains_10_samples",10,"temp_025","zero_shot","unstructured","answer_first","json","test_set_1",0.36,0.64,0.32,0,12,99,36,0.36,64,32,0.36,0.29,0.31,0.2,0.36,0.38,0.38,55,4,8
"llama2","seed_206","trained","all_domains_10_samples",10,"greedy","few_shot","unstructured","answer_first","json","test_set_1",0.37,0.63,0.34,0,11,99,37,0.37,63,34,0.14,0.29,0.54,0.2,0.36,0.46,0.44,54,3,8
"llama2","seed_206","trained","all_domains_10_samples",10,"greedy","few_shot","unstructured","fact_first","json","test_set_1",0.41,0.59,0.38,2,12,99,41,0.42,57,38,0.21,0.57,0.54,0.2,0.5,0.38,0.31,49,3,9
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_06","zero_shot","structured","fact_first","json","test_set_2",0.07,0.93,0,66,100,100,7,0.21,27,0,0,0,0,0,0,0,0,0,7,93
"llama3","seed_206","trained","all_domains_10_samples",10,"greedy","few_shot","unstructured","fact_first","json","test_set_1",0.53,0.47,0.51,6,6,99,52,0.55,42,50,0.5,0.43,0.77,0.6,0.5,0.38,0.38,43,2,4
"llama2","seed_989","trained","all_domains_1_samples",1,"greedy","zero_shot","unstructured","answer_first","json","test_set_2",0.31,0.69,0,0,100,100,31,0.31,69,0,0,0,0,0,0,0,0,0,31,69
"llama3","seed_206","trained","all_domains_10_samples",10,"temp_025","zero_shot","structured","answer_first","json","test_set_1",0.52,0.48,0.47,0,8,99,51,0.51,49,47,0.57,0.43,0.62,0.33,0.43,0.46,0.5,44,4,4
"llama3","seed_206","trained","all_domains_10_samples",10,"greedy","few_shot","structured","fact_first","json","test_set_1",0.47,0.53,0.43,1,10,99,47,0.47,52,43,0.71,0.36,0.54,0.4,0.29,0.46,0.31,46,4,6
"llama2","seed_206","trained","all_domains_10_samples",10,"temp_025","zero_shot","structured","answer_first","json","test_set_1",0.35,0.65,0.3,0,12,99,35,0.35,65,30,0.21,0.43,0.38,0.13,0.21,0.46,0.31,57,5,7
"llama3","seed_206","trained","all_domains_10_samples",10,"temp_06","zero_shot","unstructured","answer_first","json","test_set_1",0.46,0.54,0.43,0,10,99,46,0.46,54,43,0.43,0.29,0.54,0.47,0.43,0.62,0.31,46,3,7
"llama2","seed_206","trained","all_domains_10_samples",10,"temp_06","zero_shot","unstructured","answer_first","json","test_set_1",0.38,0.62,0.34,0,11,99,38,0.38,62,34,0.36,0.43,0.31,0.13,0.36,0.23,0.56,54,4,7
"llama3","seed_206","trained","all_domains_10_samples",10,"temp_025","few_shot","unstructured","answer_first","json","test_set_1",0.47,0.53,0.41,0,13,99,47,0.47,53,41,0.5,0.21,0.54,0.4,0.36,0.46,0.44,45,6,7
"llama2","seed_989","untrained","all_domains_0_samples",0,"greedy","zero_shot","structured","answer_first","json","test_set_2",0.32,0.68,0,2,100,100,32,0.33,66,0,0,0,0,0,0,0,0,0,32,68
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_06","zero_shot","unstructured","fact_first","json","test_set_2",0.15,0.85,0,49,100,100,15,0.29,36,0,0,0,0,0,0,0,0,0,15,85
"llama2","seed_206","trained","all_domains_10_samples",10,"temp_025","few_shot","unstructured","answer_first","json","test_set_1",0.35,0.65,0.32,0,11,99,35,0.35,65,32,0.07,0.29,0.46,0.2,0.36,0.38,0.5,56,3,8
"llama2","seed_206","trained","all_domains_10_samples",10,"temp_025","few_shot","unstructured","fact_first","json","test_set_1",0.38,0.62,0.35,3,13,99,38,0.39,59,35,0,0.43,0.54,0.27,0.5,0.38,0.38,51,3,10
"llama3","seed_206","trained","all_domains_10_samples",10,"temp_025","few_shot","unstructured","fact_first","json","test_set_1",0.47,0.53,0.44,5,6,99,47,0.49,48,44,0.5,0.29,0.54,0.53,0.43,0.38,0.44,49,3,3
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_025","few_shot","unstructured","answer_first","json","test_set_2",0.35,0.65,0.24,0,24,100,35,0.35,65,24,0.36,0.53,0.36,0.2,0,0.14,0.08,52,11,13
"llama2","seed_206","trained","all_domains_10_samples",10,"greedy","few_shot","structured","fact_first","json","test_set_1",0.07,0.93,0.06,69,39,99,7,0.23,24,6,0,0.14,0.15,0.07,0.07,0,0,54,1,38
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","structured","answer_first","json","test_set_2",0.29,0.71,0.11,0,51,100,29,0.29,71,11,0.29,0,0.36,0.07,0,0.07,0,38,18,33
"llama2","seed_989","trained","all_domains_1_samples",1,"greedy","zero_shot","structured","fact_first","json","test_set_2",0.19,0.81,0,14,98,100,19,0.22,67,0,0,0,0,0,0,0,0,2,19,79
"llama3","seed_206","trained","all_domains_10_samples",10,"temp_06","zero_shot","structured","answer_first","json","test_set_1",0.52,0.48,0.48,0,6,99,51,0.51,49,48,0.57,0.43,0.62,0.4,0.43,0.46,0.5,45,3,3
"llama2","seed_989","trained","all_domains_10_samples",10,"temp_025","few_shot","structured","answer_first","json","test_set_2",0.29,0.71,0.25,12,25,100,29,0.33,59,25,0.43,0.33,0.29,0.33,0,0,0.38,50,4,21
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","structured","fact_first","json","test_set_2",0.22,0.78,0.1,15,51,100,22,0.26,63,10,0.21,0,0.29,0,0.07,0.14,0,39,12,39
"llama2","seed_989","trained","all_domains_10_samples",10,"greedy","zero_shot","unstructured","answer_first","json","test_set_1",0.39,0.61,0.34,0,11,99,39,0.39,61,34,0.36,0.29,0.38,0.2,0.36,0.38,0.44,54,5,6
