"model_name","seed","training_status","training_dataset","num_training_samples","generation_strategy","prompt_type","explanation_type","response_type","response_format","evaluation_dataset","label_accuracy","misclassification_rate","combined_accuracy","malformed_label","malformed_domain","total_predictions","correct_predictions","conditional_accuracy","wrong_predictions","correct_label_and_domain","Constitutional_Law_accuracy","Contracts_accuracy","Criminal_Law_accuracy","Evidence_accuracy","Real_Property_accuracy","Torts_accuracy","Civil_Procedure_accuracy","correct_domain_wrong_label","correct_label_wrong_domain","both_wrong"
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","structured","answer_first","number_list","test_set_1",0.51,0.49,0.4,0,18,99,50,0.5,50,40,0.43,0.43,0.62,0.33,0.5,0.38,0.19,41,10,8
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","structured","answer_first","number_list","test_set_1",0.43,0.57,0.32,2,24,99,43,0.44,55,32,0.36,0.36,0.31,0.27,0.43,0.46,0.13,43,11,13
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","unstructured","answer_first","number_list","test_set_1",0.47,0.53,0.4,0,14,99,47,0.47,53,40,0.43,0.29,0.62,0.33,0.57,0.31,0.31,45,7,7
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","structured","answer_first","number_list","test_set_1",0.36,0.64,0.27,0,25,99,36,0.36,64,27,0.07,0.21,0.54,0.27,0.5,0.31,0.06,47,9,16
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","unstructured","answer_first","number_list","test_set_1",0.23,0.77,0.2,42,52,99,23,0.4,35,20,0.36,0.21,0.31,0.13,0.14,0.23,0.06,27,3,49
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","structured","fact_first","number_list","test_set_1",0.51,0.49,0.27,0,46,99,50,0.5,50,27,0.14,0.43,0.46,0.2,0.21,0.46,0.06,26,23,23
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","structured","fact_first","number_list","test_set_1",0.56,0.44,0.42,0,28,99,55,0.55,45,42,0.64,0.29,0.85,0.33,0.36,0.46,0.13,29,13,15
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","unstructured","answer_first","number_list","test_set_1",0.3,0.7,0.21,21,47,99,30,0.38,49,21,0.21,0.36,0.31,0.07,0.43,0.15,0,31,9,38
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","unstructured","fact_first","number_list","test_set_1",0.51,0.49,0.45,10,14,99,50,0.56,40,45,0.43,0.43,0.62,0.47,0.43,0.46,0.38,40,5,9
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","unstructured","fact_first","number_list","test_set_1",0.26,0.74,0.16,39,62,99,26,0.43,35,16,0.21,0.14,0.08,0.27,0.21,0.08,0.13,21,10,52
"llama3","seed_206","untrained","all_domains_0_samples",0,"greedy","few_shot","structured","answer_first","number_list","test_set_1",0.48,0.52,0.31,0,35,99,48,0.48,52,31,0.29,0.29,0.38,0.33,0.5,0.31,0.13,33,17,18
"llama3","seed_206","untrained","all_domains_0_samples",0,"greedy","few_shot","unstructured","answer_first","number_list","test_set_1",0.49,0.51,0.38,0,25,99,49,0.49,51,38,0.36,0.21,0.62,0.4,0.5,0.23,0.38,36,11,14
"llama3","seed_206","untrained","all_domains_0_samples",0,"greedy","zero_shot","structured","answer_first","number_list","test_set_1",0.01,0.99,0,97,98,99,1,0.33,2,0,0,0,0,0,0,0,0,1,1,97
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","structured","answer_first","number_list","test_set_1",0.39,0.61,0.28,0,29,99,39,0.39,61,28,0.21,0.43,0.38,0.07,0.21,0.31,0.38,42,11,18
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","unstructured","fact_first","number_list","test_set_1",0.02,0.98,0.02,86,82,99,2,0.14,12,2,0,0,0.15,0,0,0,0,15,0,82
"llama3","seed_206","untrained","all_domains_0_samples",0,"greedy","zero_shot","unstructured","answer_first","number_list","test_set_1",0.42,0.58,0.15,6,60,99,42,0.45,52,15,0.07,0.21,0.15,0.13,0.14,0.38,0,24,27,33
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","unstructured","answer_first","number_list","test_set_1",0.4,0.6,0.31,0,23,99,40,0.4,60,31,0.21,0.57,0.38,0.07,0.21,0.31,0.44,45,9,14
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","structured","answer_first","markdown","test_set_1",0.51,0.49,0.27,0,46,99,50,0.5,50,27,0.43,0,0.46,0.47,0.14,0.38,0.06,26,23,23
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","structured","fact_first","number_list","test_set_1",0.13,0.87,0.09,75,39,99,13,0.52,12,9,0,0,0.08,0.07,0.14,0.23,0.13,51,4,35
"llama3","seed_206","untrained","all_domains_0_samples",0,"greedy","zero_shot","unstructured","fact_first","number_list","test_set_1",0.32,0.68,0.13,43,74,99,32,0.56,25,13,0,0.29,0.15,0.2,0,0.31,0,12,19,55
"llama3","seed_206","untrained","all_domains_0_samples",0,"greedy","few_shot","unstructured","fact_first","number_list","test_set_1",0.44,0.56,0.36,4,25,99,44,0.46,52,36,0.14,0.21,0.54,0.4,0.57,0.31,0.38,38,8,17
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","unstructured","answer_first","markdown","test_set_1",0.48,0.52,0.35,0,33,99,48,0.48,52,35,0.5,0.29,0.62,0.4,0.5,0.23,0,31,13,20
"llama3","seed_206","untrained","all_domains_0_samples",0,"greedy","few_shot","structured","fact_first","number_list","test_set_1",0.62,0.38,0.33,0,47,99,61,0.61,39,33,0.21,0.14,0.62,0.4,0.43,0.38,0.19,19,28,19
"llama3","seed_206","untrained","all_domains_0_samples",0,"greedy","zero_shot","structured","fact_first","number_list","test_set_1",0.04,0.96,0.01,90,96,99,4,0.4,6,1,0,0,0,0,0,0.08,0,2,3,93
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","unstructured","fact_first","number_list","test_set_1",0.22,0.78,0.19,54,19,99,22,0.48,24,19,0.14,0.29,0.15,0.07,0.14,0.23,0.31,61,3,16
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","structured","fact_first","number_list","test_set_1",0.35,0.65,0.27,6,33,99,35,0.37,59,27,0.14,0.43,0.46,0.07,0.29,0.31,0.25,39,8,25
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_025","zero_shot","structured","answer_first","number_list","test_set_1",0.44,0.56,0.33,3,23,99,44,0.45,53,33,0.36,0.36,0.31,0.33,0.43,0.46,0.13,43,11,12
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_025","few_shot","structured","answer_first","number_list","test_set_1",0.49,0.51,0.41,0,19,99,49,0.49,51,41,0.43,0.36,0.69,0.33,0.5,0.31,0.31,39,8,11
"llama2","seed_206","untrained","all_domains_0_samples",0,"greedy","zero_shot","structured","answer_first","number_list","test_set_1",0.04,0.96,0.03,87,91,99,4,0.31,9,3,0,0,0.15,0,0,0.08,0,5,1,90
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_025","few_shot","unstructured","answer_first","number_list","test_set_1",0.46,0.54,0.39,1,15,99,46,0.46,53,39,0.43,0.29,0.62,0.4,0.57,0.23,0.25,45,7,8
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_025","zero_shot","unstructured","answer_first","number_list","test_set_1",0.23,0.77,0.17,38,52,99,23,0.37,39,17,0.29,0.14,0.31,0.13,0.14,0.15,0.06,30,6,46
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","unstructured","answer_first","markdown","test_set_1",0.13,0.87,0,77,99,99,13,0.57,10,0,0,0,0,0,0,0,0,0,13,86
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","unstructured","answer_first","markdown","test_set_1",0.4,0.6,0.28,0,29,99,40,0.4,60,28,0.14,0.5,0.38,0.13,0.14,0.38,0.31,42,12,17
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","structured","answer_first","markdown","test_set_1",0.46,0.54,0,4,99,99,46,0.48,50,0,0,0,0,0,0,0,0,0,46,53
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_025","zero_shot","unstructured","fact_first","number_list","test_set_1",0.32,0.68,0.22,37,58,99,32,0.51,31,22,0.21,0.29,0,0.13,0.43,0.38,0.13,19,10,48
"llama3","seed_206","untrained","all_domains_0_samples",0,"greedy","few_shot","unstructured","answer_first","markdown","test_set_1",0.54,0.46,0,2,99,99,53,0.54,45,0,0,0,0,0,0,0,0,0,53,46
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","structured","answer_first","markdown","test_set_1",0.33,0.67,0.25,1,33,99,33,0.33,66,25,0.14,0.57,0.38,0,0.14,0.31,0.25,41,8,25
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_025","few_shot","unstructured","fact_first","number_list","test_set_1",0.41,0.59,0.38,8,14,99,41,0.45,51,38,0.21,0.36,0.69,0.4,0.43,0.23,0.38,47,3,11
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","structured","fact_first","markdown","test_set_1",0.51,0.49,0.01,8,97,99,50,0.54,42,1,0,0,0.08,0,0,0,0,1,49,48
"llama3","seed_206","untrained","all_domains_0_samples",0,"greedy","few_shot","structured","answer_first","markdown","test_set_1",0.35,0.65,0,33,98,99,35,0.52,32,0,0,0,0,0,0,0,0,1,35,63
"llama2","seed_206","untrained","all_domains_0_samples",0,"greedy","zero_shot","unstructured","answer_first","number_list","test_set_1",0,1,0,99,99,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_025","zero_shot","structured","fact_first","number_list","test_set_1",0.52,0.48,0.26,0,54,99,51,0.51,49,26,0.07,0.5,0.38,0.27,0.21,0.46,0,19,25,29
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","structured","fact_first","markdown","test_set_1",0.49,0.51,0.3,0,46,99,49,0.49,51,30,0.57,0,0.38,0.53,0,0.62,0.06,23,19,27
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","unstructured","fact_first","markdown","test_set_1",0.47,0.53,0.4,19,22,99,47,0.58,34,40,0.21,0.29,0.54,0.53,0.57,0.54,0.19,37,7,15
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_025","few_shot","structured","fact_first","number_list","test_set_1",0.53,0.47,0.41,1,26,99,52,0.53,47,41,0.57,0.36,0.77,0.4,0.36,0.31,0.19,32,11,15
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_025","few_shot","unstructured","answer_first","number_list","test_set_1",0.48,0.52,0.36,0,25,99,48,0.48,52,36,0.36,0.21,0.46,0.4,0.5,0.23,0.38,38,12,13
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","structured","answer_first","markdown","test_set_1",0.15,0.85,0,45,99,99,15,0.27,40,0,0,0,0,0,0,0,0,0,15,84
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","unstructured","answer_first","number_list","test_set_1",0.42,0.58,0.15,5,57,99,42,0.44,53,15,0.07,0,0.15,0.2,0.14,0.54,0,27,27,30
"llama2","seed_206","untrained","all_domains_0_samples",0,"greedy","zero_shot","structured","fact_first","number_list","test_set_1",0.03,0.97,0.03,87,88,99,3,0.23,10,3,0,0,0.23,0,0,0,0,8,0,88
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","structured","answer_first","number_list","test_set_1",0,1,0,98,98,99,0,0,2,0,0,0,0,0,0,0,0,1,0,98
"llama3","seed_206","untrained","all_domains_0_samples",0,"greedy","zero_shot","unstructured","answer_first","markdown","test_set_1",0,1,0,99,99,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_025","few_shot","structured","answer_first","number_list","test_set_1",0.46,0.54,0.29,0,38,99,46,0.46,54,29,0.21,0.07,0.38,0.33,0.57,0.15,0.31,32,17,21
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","unstructured","fact_first","number_list","test_set_1",0.29,0.71,0.1,48,79,99,29,0.56,23,10,0,0.21,0.08,0.13,0,0.31,0,10,19,60
"llama2","seed_206","untrained","all_domains_0_samples",0,"greedy","zero_shot","unstructured","fact_first","number_list","test_set_1",0,1,0,99,99,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_025","few_shot","unstructured","fact_first","number_list","test_set_1",0.51,0.49,0.43,0,23,99,50,0.5,50,43,0.29,0.5,0.54,0.53,0.5,0.38,0.31,33,7,16
"llama2","seed_206","untrained","all_domains_0_samples",0,"greedy","few_shot","structured","answer_first","number_list","test_set_1",0.4,0.6,0.32,0,21,99,40,0.4,60,32,0.14,0.57,0.38,0.13,0.21,0.31,0.5,46,8,13
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","unstructured","answer_first","markdown","test_set_1",0.04,0.96,0,85,99,99,4,0.27,11,0,0,0,0,0,0,0,0,0,4,95
"llama2","seed_206","untrained","all_domains_0_samples",0,"greedy","few_shot","unstructured","answer_first","number_list","test_set_1",0.36,0.64,0.27,0,23,99,36,0.36,64,27,0.14,0.5,0.46,0.13,0.07,0.23,0.38,49,9,14
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_025","zero_shot","structured","answer_first","number_list","test_set_1",0.29,0.71,0.22,4,28,99,29,0.3,67,22,0.14,0.29,0.38,0.07,0.36,0.31,0.06,49,7,21
"llama3","seed_206","untrained","all_domains_0_samples",0,"greedy","zero_shot","structured","answer_first","markdown","test_set_1",0,1,0,99,99,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","unstructured","fact_first","markdown","test_set_1",0.03,0.97,0,86,99,99,3,0.21,11,0,0,0,0,0,0,0,0,0,3,96
"llama3","seed_206","untrained","all_domains_0_samples",0,"greedy","zero_shot","structured","fact_first","markdown","test_set_1",0.01,0.99,0,98,99,99,1,0.5,1,0,0,0,0,0,0,0,0,0,1,98
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","structured","fact_first","markdown","test_set_1",0.07,0.93,0,78,99,99,7,0.32,15,0,0,0,0,0,0,0,0,0,7,92
"llama3","seed_206","untrained","all_domains_0_samples",0,"greedy","few_shot","unstructured","fact_first","markdown","test_set_1",0.55,0.45,0,0,99,99,54,0.54,46,0,0,0,0,0,0,0,0,0,54,45
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_025","few_shot","structured","answer_first","markdown","test_set_1",0.54,0.46,0.25,0,49,99,53,0.53,47,25,0.36,0,0.38,0.47,0.14,0.38,0.06,25,28,21
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_025","few_shot","unstructured","answer_first","markdown","test_set_1",0.46,0.54,0.35,0,28,99,46,0.46,54,35,0.5,0.21,0.54,0.47,0.43,0.23,0.13,36,11,17
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","structured","fact_first","number_list","test_set_1",0.06,0.94,0.02,91,96,99,6,0.67,3,2,0,0.07,0,0,0,0.08,0,1,4,92
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","structured","fact_first","markdown","test_set_1",0.32,0.68,0.22,2,31,99,32,0.33,66,22,0.29,0.21,0.38,0.13,0.07,0.23,0.25,46,10,21
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","unstructured","fact_first","markdown","test_set_1",0.26,0.74,0.17,44,33,99,26,0.46,30,17,0.21,0.36,0.23,0,0.07,0.08,0.25,49,9,24
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_06","zero_shot","unstructured","answer_first","number_list","test_set_1",0.29,0.71,0.25,37,47,99,29,0.46,34,25,0.43,0.21,0.31,0.13,0.36,0.38,0,27,4,43
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_025","zero_shot","unstructured","answer_first","markdown","test_set_1",0.12,0.88,0,77,99,99,12,0.52,11,0,0,0,0,0,0,0,0,0,12,87
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_025","few_shot","structured","fact_first","number_list","test_set_1",0.48,0.52,0.25,0,47,99,48,0.48,52,25,0.07,0.07,0.46,0.27,0.36,0.31,0.25,27,23,24
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_06","few_shot","unstructured","answer_first","number_list","test_set_1",0.54,0.46,0.47,0,16,99,53,0.53,47,47,0.5,0.36,0.77,0.33,0.57,0.46,0.38,36,6,10
"llama3","seed_206","untrained","all_domains_0_samples",0,"greedy","few_shot","structured","fact_first","markdown","test_set_1",0.52,0.48,0.01,14,98,99,51,0.59,35,1,0,0,0,0.07,0,0,0,0,50,48
"llama2","seed_206","untrained","all_domains_0_samples",0,"greedy","few_shot","unstructured","fact_first","number_list","test_set_1",0.22,0.78,0.17,44,25,99,22,0.39,34,17,0.14,0.21,0.15,0.07,0.07,0.23,0.31,57,5,20
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_025","zero_shot","unstructured","answer_first","number_list","test_set_1",0.16,0.84,0.12,42,60,99,16,0.28,42,12,0.14,0.29,0.15,0.07,0.14,0.08,0,27,4,56
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","unstructured","fact_first","markdown","test_set_1",0.47,0.53,0.04,17,92,99,47,0.57,36,4,0,0,0.15,0.13,0,0,0,3,43,49
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_06","zero_shot","structured","answer_first","number_list","test_set_1",0.43,0.57,0.34,9,28,99,43,0.47,48,34,0.36,0.36,0.31,0.27,0.43,0.46,0.25,37,9,19
"llama2","seed_206","untrained","all_domains_0_samples",0,"greedy","few_shot","structured","fact_first","number_list","test_set_1",0.4,0.6,0.32,3,23,99,40,0.41,57,32,0.21,0.43,0.38,0.2,0.21,0.38,0.44,44,8,15
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_06","few_shot","unstructured","fact_first","number_list","test_set_1",0.44,0.56,0.4,2,17,99,44,0.45,54,40,0.29,0.43,0.77,0.2,0.5,0.54,0.19,42,4,13
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_06","zero_shot","unstructured","fact_first","number_list","test_set_1",0.3,0.7,0.22,45,59,99,30,0.55,25,22,0.36,0.21,0,0.13,0.29,0.23,0.31,18,8,51
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_06","few_shot","structured","answer_first","number_list","test_set_1",0.48,0.52,0.39,1,20,99,48,0.48,51,39,0.36,0.36,0.54,0.53,0.5,0.23,0.25,40,9,11
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_025","zero_shot","structured","answer_first","markdown","test_set_1",0.4,0.6,0,6,99,99,40,0.43,54,0,0,0,0,0,0,0,0,0,40,59
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_025","zero_shot","structured","fact_first","number_list","test_set_1",0.09,0.91,0.04,76,42,99,9,0.38,15,4,0,0,0.15,0,0,0.08,0.06,53,5,37
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_06","zero_shot","unstructured","answer_first","number_list","test_set_1",0.36,0.64,0.17,20,67,99,36,0.45,44,17,0.14,0.14,0.15,0.27,0.29,0.23,0,15,19,48
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_025","zero_shot","structured","fact_first","markdown","test_set_1",0.48,0.52,0,14,98,99,48,0.56,38,0,0,0,0,0,0,0,0,1,48,50
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_025","few_shot","unstructured","answer_first","markdown","test_set_1",0.51,0.49,0,3,99,99,50,0.52,47,0,0,0,0,0,0,0,0,0,50,49
"llama2","seed_206","untrained","all_domains_0_samples",0,"greedy","few_shot","unstructured","answer_first","markdown","test_set_1",0.36,0.64,0.24,0,34,99,36,0.36,64,24,0.14,0.43,0.38,0,0.14,0.23,0.38,41,12,22
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_025","zero_shot","unstructured","fact_first","number_list","test_set_1",0.05,0.95,0.04,86,79,99,5,0.36,9,4,0,0,0.23,0,0.07,0,0,16,1,78
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_06","few_shot","unstructured","answer_first","number_list","test_set_1",0.45,0.55,0.35,0,27,99,45,0.45,55,35,0.36,0.43,0.38,0.33,0.43,0.23,0.31,37,10,17
"llama2","seed_206","untrained","all_domains_0_samples",0,"greedy","few_shot","structured","answer_first","markdown","test_set_1",0.35,0.65,0.26,0,31,99,35,0.35,65,26,0.14,0.57,0.31,0.07,0.14,0.23,0.38,42,9,22
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","unstructured","answer_first","markdown","test_set_1",0,1,0,99,99,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_06","zero_shot","structured","fact_first","number_list","test_set_1",0.49,0.51,0.26,3,57,99,49,0.51,48,26,0.07,0.5,0.46,0.27,0.21,0.38,0,16,23,34
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_025","few_shot","unstructured","fact_first","markdown","test_set_1",0.39,0.61,0.28,17,27,99,39,0.47,44,28,0.14,0.29,0.46,0.4,0.36,0.38,0,44,11,16
"llama2","seed_206","untrained","all_domains_0_samples",0,"greedy","zero_shot","structured","answer_first","markdown","test_set_1",0,1,0,99,99,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_06","few_shot","unstructured","fact_first","number_list","test_set_1",0.51,0.49,0.37,0,28,99,50,0.5,50,37,0.36,0.36,0.46,0.33,0.57,0.31,0.25,34,13,15
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_06","zero_shot","unstructured","fact_first","number_list","test_set_1",0.24,0.76,0.1,56,85,99,24,0.55,20,10,0,0.29,0.08,0.07,0.07,0.23,0,4,14,71
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","structured","answer_first","number_list","test_set_1",0.03,0.97,0.02,81,86,99,3,0.16,16,2,0,0.14,0,0,0,0,0,11,1,85
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_025","few_shot","structured","answer_first","markdown","test_set_1",0.33,0.67,0,32,98,99,33,0.49,35,0,0,0,0,0,0,0,0,1,33,65
"llama3","seed_206","untrained","all_domains_0_samples",0,"greedy","zero_shot","unstructured","fact_first","markdown","test_set_1",0.05,0.95,0,85,99,99,5,0.33,10,0,0,0,0,0,0,0,0,0,5,94
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_06","few_shot","structured","fact_first","number_list","test_set_1",0.47,0.53,0.34,0,30,99,47,0.47,53,34,0.36,0.14,0.69,0.4,0.29,0.38,0.19,35,13,17
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_025","few_shot","structured","fact_first","markdown","test_set_1",0.58,0.42,0.36,0,44,99,57,0.57,43,36,0.64,0.14,0.54,0.47,0.07,0.69,0.06,19,21,23
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_06","zero_shot","structured","answer_first","number_list","test_set_1",0.02,0.98,0,95,98,99,2,0.4,3,0,0,0,0,0,0,0,0,1,2,96
"llama2","seed_206","untrained","all_domains_0_samples",0,"greedy","zero_shot","unstructured","answer_first","markdown","test_set_1",0,1,0,99,99,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_06","few_shot","structured","answer_first","number_list","test_set_1",0.45,0.55,0.24,0,41,99,45,0.45,55,24,0.14,0.14,0.31,0.33,0.43,0.38,0,34,21,20
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","structured","answer_first","markdown","test_set_1",0,1,0,98,99,99,0,0,2,0,0,0,0,0,0,0,0,0,0,99
"llama2","seed_206","untrained","all_domains_0_samples",0,"greedy","zero_shot","unstructured","fact_first","markdown","test_set_1",0,1,0,99,99,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99
"llama2","seed_206","untrained","all_domains_0_samples",0,"greedy","zero_shot","structured","fact_first","markdown","test_set_1",0,1,0,99,99,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_06","zero_shot","unstructured","answer_first","markdown","test_set_1",0.13,0.87,0,73,99,99,13,0.48,14,0,0,0,0,0,0,0,0,0,13,86
"llama3","seed_989","trained","all_domains_1_samples",1,"greedy","zero_shot","unstructured","answer_first","number_list","test_set_1",0.23,0.77,0.2,42,52,99,23,0.4,35,20,0.36,0.21,0.31,0.13,0.14,0.23,0.06,27,3,49
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_06","few_shot","unstructured","answer_first","markdown","test_set_1",0.45,0.55,0.32,0,32,99,45,0.45,55,32,0.36,0.21,0.69,0.47,0.29,0.23,0.06,35,13,19
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","structured","fact_first","markdown","test_set_1",0.01,0.99,0,98,99,99,1,0.5,1,0,0,0,0,0,0,0,0,0,1,98
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_025","few_shot","unstructured","fact_first","markdown","test_set_1",0.52,0.48,0,1,99,99,51,0.52,48,0,0,0,0,0,0,0,0,0,51,48
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_025","few_shot","structured","answer_first","number_list","test_set_1",0.32,0.68,0.25,4,30,99,32,0.33,64,25,0.07,0.5,0.46,0,0.29,0.15,0.31,44,7,23
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_025","few_shot","unstructured","answer_first","number_list","test_set_1",0.3,0.7,0.24,0,22,99,30,0.3,70,24,0.14,0.21,0.31,0.13,0.36,0.15,0.38,53,6,16
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","unstructured","answer_first","number_list","test_set_1",0,1,0,99,99,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99
"llama3","seed_989","trained","all_domains_1_samples",1,"greedy","few_shot","unstructured","fact_first","number_list","test_set_1",0.51,0.49,0.45,10,14,99,50,0.56,40,45,0.43,0.43,0.62,0.47,0.43,0.46,0.38,40,5,9
"llama3","seed_989","trained","all_domains_1_samples",1,"greedy","few_shot","unstructured","answer_first","number_list","test_set_1",0.47,0.53,0.4,0,14,99,47,0.47,53,40,0.43,0.29,0.62,0.33,0.57,0.31,0.31,45,7,7
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_06","zero_shot","structured","fact_first","number_list","test_set_1",0.08,0.92,0.02,86,95,99,8,0.57,6,2,0,0.07,0.08,0,0,0,0,2,6,89
"llama3","seed_989","trained","all_domains_1_samples",1,"greedy","zero_shot","unstructured","fact_first","number_list","test_set_1",0.26,0.74,0.16,39,62,99,26,0.43,35,16,0.21,0.14,0.08,0.27,0.21,0.08,0.13,21,10,52
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_025","zero_shot","unstructured","fact_first","markdown","test_set_1",0.45,0.55,0.05,10,86,99,45,0.5,45,5,0,0,0.23,0.07,0,0.08,0,8,40,46
"llama2","seed_206","untrained","all_domains_0_samples",0,"greedy","few_shot","unstructured","fact_first","markdown","test_set_1",0.3,0.7,0.19,29,34,99,30,0.42,41,19,0.21,0.21,0.23,0.07,0.14,0.23,0.25,46,11,23
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","structured","fact_first","number_list","test_set_1",0.03,0.97,0.02,90,88,99,3,0.3,7,2,0,0,0.08,0,0,0.08,0,9,1,87
